subset,model,sample_id,condition_name,condition_value,success,score,score_all,field_accuracy,error_type,latency_sec,prompt_tokens,completion_tokens,answer_excerpt,prediction_excerpt,error_excerpt,source_file
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0000,position,10,True,0.0,0.0,0.0,decoy_value_capture,5.570538,36229.0,26.0,2M6-YC3-98M|RCP-ES2-HB6|7ZH-T8K-PHU,2M6-YC3-U8M|RVP-ES2-HB6|7ZH-T8K-PHN,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0001,position,10,True,1.0,1.0,1.0,correct,10.716182,36257.0,27.0,ZBD-WQM-675|U84-ML9-D2D|DL8-FWY-NPA,ZBD-WQM-675|U84-ML9-D2D|DL8-FWY-NPA,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0002,position,10,True,0.0,0.0,0.3333,decoy_value_capture,5.461192,36218.0,25.0,CCF-D7F-XVL|4XA-ARW-PJT|6J8-LWM-PKX,4XA-ARW-PTT|DCF-D7F-XVL|6J8-LWM-PKX,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0003,position,10,True,0.0,0.0,0.0,decoy_value_capture,9.431253,36283.0,34.0,Z5M-T9F-574|WHJ-956-VF7|C8W-9LU-6S5,Z5M-C9F-574|WVJ-956-VF7|C8W-9L4-6S5,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0004,position,10,True,0.0,0.0,1.0,partial_triplet,12.00126,36202.0,27.0,DA7-4X4-MFK|NVZ-AHP-ESR|C7R-CQ7-R5G,NVZ-AHP-ESR|DA7-4X4-MFK|C7R-CQ7-R5G,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0005,position,10,True,0.0,0.0,1.0,partial_triplet,10.000192,36233.0,27.0,DFP-X9K-39S|GXU-3KG-4CD|QHM-KBR-VRK,QHM-KBR-VRK|DFP-X9K-39S|GXU-3KG-4CD,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0006,position,10,True,0.0,0.0,0.6667,partial_triplet,7.798644,36213.0,25.0,AZR-VR5-SAV|NQ8-DB4-JHL|XJ9-GSJ-8CH,AZR-VR5-SAV|AZR-VR5-SAV|XJ9-GSJ-8CH,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0007,position,10,True,1.0,1.0,1.0,correct,7.53604,36255.0,27.0,G8H-6KN-MAB|3QY-RQ4-FVN|VML-UPN-664,G8H-6KN-MAB|3QY-RQ4-FVN|VML-UPN-664,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0008,position,10,True,0.0,0.0,1.0,partial_triplet,5.77198,36273.0,32.0,LWB-U4W-E79|T9H-NDT-83G|T59-2N9-7H3,T9H-NDT-83G|LWB-U4W-E79|T59-2N9-7H3,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0009,position,10,True,0.0,0.0,0.3333,decoy_value_capture,6.885045,36245.0,27.0,7JJ-D66-D9T|TQU-CXL-69J|HEJ-7LP-B5G,7JJ-D66-D9T|HEF-7LP-B5G|7JJ-D66-D9T,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0010,position,10,True,0.0,0.0,0.3333,decoy_value_capture,10.832786,36224.0,30.0,BF6-UTJ-FWL|3G5-C26-S5P|JHP-MLK-FQD,3G5-CV6-S5P|3G5-C26-S5P|JH8-MLK-FQD,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0011,position,10,True,1.0,1.0,1.0,correct,5.449748,36277.0,27.0,7HN-897-HGW|FED-E4M-9CM|BGL-3SY-9KL,7HN-897-HGW|FED-E4M-9CM|BGL-3SY-9KL,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0012,position,10,True,0.0,0.0,0.0,decoy_value_capture,13.057713,36223.0,26.0,9D3-AXU-MX2|7AA-KKS-9AA|EDA-LMC-WPD,9D3-AXU-NX2|7AA-KKS-94A|EDM-LMC-WPD,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0013,position,10,True,1.0,1.0,1.0,correct,5.596283,36210.0,26.0,GFT-XT6-NNY|JFL-PHD-XXG|S3T-AB7-AHS,GFT-XT6-NNY|JFL-PHD-XXG|S3T-AB7-AHS,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
