subset,model,error_type,count
PAC-A_position,qwen35_122b_a10b,correct,35
PAC-A_position,qwen35_122b_a10b,decoy_value_capture,12
PAC-A_position,qwen35_122b_a10b,partial_triplet,28
PAC-A_position,qwen35_27b,correct,44
PAC-A_position,qwen35_27b,decoy_value_capture,13
PAC-A_position,qwen35_27b,partial_triplet,18
PAC-A_position,qwen35_35b_a3b,correct,9
PAC-A_position,qwen35_35b_a3b,decoy_value_capture,17
PAC-A_position,qwen35_35b_a3b,partial_triplet,49
PAC-A_position,qwen35_9b,correct,18
PAC-A_position,qwen35_9b,decoy_value_capture,25
PAC-A_position,qwen35_9b,partial_triplet,32
PAC-A_position,qwen3_14b_no_thinking,correct,7
PAC-A_position,qwen3_14b_no_thinking,decoy_value_capture,44
PAC-A_position,qwen3_14b_no_thinking,partial_triplet,24
PAC-A_position,qwen3_14b_thinking,connection_error_deferred,25
PAC-A_position,qwen3_14b_thinking,correct,2
PAC-A_position,qwen3_14b_thinking,decoy_value_capture,22
PAC-A_position,qwen3_14b_thinking,partial_triplet,6
PAC-A_position,qwen3_14b_thinking,request_error,20
PAC-A_position,qwen3_8b,decoy_value_capture,13
PAC-A_position,qwen3_8b,other_error,58
PAC-A_position,qwen3_8b,partial_triplet,4
PAC-A_position,seed_oss_36b,connection_error_deferred,8
PAC-A_position,seed_oss_36b,correct,16
PAC-A_position,seed_oss_36b,decoy_value_capture,18
PAC-A_position,seed_oss_36b,other_error,22
PAC-A_position,seed_oss_36b,partial_triplet,2
PAC-A_position,seed_oss_36b,request_error,9
PAC-B_interference,qwen35_122b_a10b,correct,32
PAC-B_interference,qwen35_122b_a10b,decoy_value_capture,16
PAC-B_interference,qwen35_122b_a10b,partial_triplet,24
PAC-B_interference,qwen35_27b,correct,42
PAC-B_interference,qwen35_27b,decoy_value_capture,15
PAC-B_interference,qwen35_27b,partial_triplet,15
PAC-B_interference,qwen35_35b_a3b,correct,16
PAC-B_interference,qwen35_35b_a3b,decoy_value_capture,21
PAC-B_interference,qwen35_35b_a3b,partial_triplet,35
PAC-B_interference,qwen35_9b,correct,23
PAC-B_interference,qwen35_9b,decoy_value_capture,29
PAC-B_interference,qwen35_9b,partial_triplet,20
PAC-B_interference,qwen3_14b_no_thinking,correct,17
PAC-B_interference,qwen3_14b_no_thinking,decoy_value_capture,32
PAC-B_interference,qwen3_14b_no_thinking,partial_triplet,23
PAC-B_interference,qwen3_14b_thinking,connection_error_deferred,17
PAC-B_interference,qwen3_14b_thinking,correct,6
PAC-B_interference,qwen3_14b_thinking,decoy_value_capture,24
PAC-B_interference,qwen3_14b_thinking,partial_triplet,6
PAC-B_interference,qwen3_14b_thinking,request_error,19
PAC-B_interference,qwen3_8b,correct,3
PAC-B_interference,qwen3_8b,decoy_value_capture,4
PAC-B_interference,qwen3_8b,other_error,57
PAC-B_interference,qwen3_8b,partial_triplet,8
PAC-B_interference,seed_oss_36b,correct,34
PAC-B_interference,seed_oss_36b,decoy_value_capture,11
PAC-B_interference,seed_oss_36b,other_error,15
PAC-B_interference,seed_oss_36b,partial_triplet,9
PAC-B_interference,seed_oss_36b,request_error,3
PAC-C_binding_capacity,qwen35_122b_a10b,correct,61
PAC-C_binding_capacity,qwen35_122b_a10b,decoy_value_capture,5
PAC-C_binding_capacity,qwen35_122b_a10b,partial_triplet,6
PAC-C_binding_capacity,qwen35_27b,correct,64
PAC-C_binding_capacity,qwen35_27b,decoy_value_capture,5
PAC-C_binding_capacity,qwen35_27b,partial_triplet,3
PAC-C_binding_capacity,qwen35_35b_a3b,correct,48
PAC-C_binding_capacity,qwen35_35b_a3b,decoy_value_capture,9
PAC-C_binding_capacity,qwen35_35b_a3b,partial_triplet,15
PAC-C_binding_capacity,qwen35_9b,correct,34
PAC-C_binding_capacity,qwen35_9b,decoy_value_capture,16
PAC-C_binding_capacity,qwen35_9b,other_error,1
PAC-C_binding_capacity,qwen35_9b,partial_triplet,21
PAC-C_binding_capacity,qwen3_14b_no_thinking,correct,10
PAC-C_binding_capacity,qwen3_14b_no_thinking,decoy_value_capture,37
PAC-C_binding_capacity,qwen3_14b_no_thinking,partial_triplet,25
PAC-C_binding_capacity,qwen3_14b_thinking,correct,41
PAC-C_binding_capacity,qwen3_14b_thinking,decoy_value_capture,8
PAC-C_binding_capacity,qwen3_14b_thinking,partial_triplet,21
PAC-C_binding_capacity,qwen3_14b_thinking,request_error,2
PAC-C_binding_capacity,qwen3_8b,decoy_value_capture,3
PAC-C_binding_capacity,qwen3_8b,other_error,46
