subset,model,error_type,sample_id,condition,answer,prediction
PAC-A_position,qwen35_9b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0000,position=10,2M6-YC3-98M|RCP-ES2-HB6|7ZH-T8K-PHU,2M6-YC3-U8M|RVP-ES2-HB6|7ZH-T8K-PHN
PAC-A_position,qwen35_9b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0002,position=10,CCF-D7F-XVL|4XA-ARW-PJT|6J8-LWM-PKX,4XA-ARW-PTT|DCF-D7F-XVL|6J8-LWM-PKX
PAC-A_position,qwen35_9b,partial_triplet,pac2_A_position_v5_pos10_decoy64_0004,position=10,DA7-4X4-MFK|NVZ-AHP-ESR|C7R-CQ7-R5G,NVZ-AHP-ESR|DA7-4X4-MFK|C7R-CQ7-R5G
PAC-A_position,qwen35_9b,partial_triplet,pac2_A_position_v5_pos10_decoy64_0005,position=10,DFP-X9K-39S|GXU-3KG-4CD|QHM-KBR-VRK,QHM-KBR-VRK|DFP-X9K-39S|GXU-3KG-4CD
PAC-A_position,qwen3_8b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0002,position=10,CCF-D7F-XVL|4XA-ARW-PJT|6J8-LWM-PKX,4XA-ARW-PJT|6J8-LWM-PKX|4XA-ASW-PJT
PAC-A_position,qwen3_8b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0004,position=10,DA7-4X4-MFK|NVZ-AHP-ESR|C7R-CQ7-R5G,NVZ-AHP-ESR|DA7-4X4-MFK|NVZ-AHL-ESR
PAC-A_position,qwen3_8b,other_error,pac2_A_position_v5_pos10_decoy64_0000,position=10,2M6-YC3-98M|RCP-ES2-HB6|7ZH-T8K-PHU,"To determine the final three-part route triplet for the alias `A=ALIAS-1000-C30`, batch `Q=B080-morning-07`, approved profile `PID=PROFILE-L769`, and cutoff `T<23:50`, we need to follow the rules provided in the long context.  ### Step 1: Identify the active alias From the alias lines, the only a..."
PAC-A_position,qwen3_8b,other_error,pac2_A_position_v5_pos10_decoy64_0001,position=10,ZBD-WQM-675|U84-ML9-D2D|DL8-FWY-NPA,"To determine the final three-part route triplet for the alias `A=ALIAS-1001-Y35`, batch `Q=B081-mid-01`, and approved profile `PID=PROFILE-A411` with a cutoff time of `T<23:50`, we need to follow the rules provided in the long context.  ### Step 1: Identify the active alias From the alias lines, ..."
PAC-A_position,qwen3_8b,partial_triplet,pac2_A_position_v5_pos25_decoy64_0000,position=25,RYG-QQX-AZA|LL9-NEH-TD6|PXB-N3B-6CK,"First, identify the active alias: A=ALIAS-2500-V39.   Next, find the approved profile: PID=PROFILE-M531.   Then, filter for the batch Q=B060-morning-02 and cutoff T<23:50.   Select the latest valid, approved, primary-channel evidence for each field in the profile step order.    V1|V2|V3   RYG-QQX..."
PAC-A_position,qwen3_8b,partial_triplet,pac2_A_position_v5_pos25_decoy64_0002,position=25,J7B-X2F-4LZ|AGA-8M3-RRD|5PQ-DY9-4UZ,5PQ-DY9-4UZ|J7B-X2F-4LZ|AGA-8M3-RRD
PAC-A_position,qwen35_27b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0000,position=10,2M6-YC3-98M|RCP-ES2-HB6|7ZH-T8K-PHU,2M6-BC3-98M|RCP-ES2-HD6|7ZH-T8K-PHU
PAC-A_position,qwen35_27b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0008,position=10,LWB-U4W-E79|T9H-NDT-83G|T59-2N9-7H3,LWB-UXW-E79|T9H-NDT-8UG|T5W-2N9-7H3
PAC-A_position,qwen35_27b,partial_triplet,pac2_A_position_v5_pos10_decoy64_0005,position=10,DFP-X9K-39S|GXU-3KG-4CD|QHM-KBR-VRK,QHM-KBR-VRK|GXU-3KG-4CD|DFP-X9K-39S
PAC-A_position,qwen35_27b,partial_triplet,pac2_A_position_v5_pos25_decoy64_0004,position=25,RFV-8A3-C7B|PUQ-JEY-A26|2JV-WXX-ALX,2JV-WXX-ALX|PUQ-JEY-A26|2JV-WXX-ALX
PAC-A_position,qwen35_35b_a3b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0003,position=10,Z5M-T9F-574|WHJ-956-VF7|C8W-9LU-6S5,Z5M-C9F-574|WVJ-956-VF7|C8W-9LU-6S5
PAC-A_position,qwen35_35b_a3b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0007,position=10,G8H-6KN-MAB|3QY-RQ4-FVN|VML-UPN-664,VML-UPN-664|3QY-RQ4-FLN|G8H-6KN-MAB
PAC-A_position,qwen35_35b_a3b,partial_triplet,pac2_A_position_v5_pos10_decoy64_0000,position=10,2M6-YC3-98M|RCP-ES2-HB6|7ZH-T8K-PHU,7ZH-T8K-PHU|2M6-YC3-98M|7ZH-T8K-PHU
PAC-A_position,qwen35_35b_a3b,partial_triplet,pac2_A_position_v5_pos10_decoy64_0001,position=10,ZBD-WQM-675|U84-ML9-D2D|DL8-FWY-NPA,U84-ML9-D2D|DL8-FWY-NPA|ZBD-WQM-675
PAC-A_position,qwen35_122b_a10b,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0011,position=10,7HN-897-HGW|FED-E4M-9CM|BGL-3SY-9KL,7HN-897-HGW|7TN-897-HGW|BGL-3SY-9KL
PAC-A_position,qwen35_122b_a10b,decoy_value_capture,pac2_A_position_v5_pos25_decoy64_0000,position=25,RYG-QQX-AZA|LL9-NEH-TD6|PXB-N3B-6CK,RYG-QQX-AZA|LL9-NEH-TD6|PX9-N3B-6CK
PAC-A_position,qwen35_122b_a10b,partial_triplet,pac2_A_position_v5_pos10_decoy64_0000,position=10,2M6-YC3-98M|RCP-ES2-HB6|7ZH-T8K-PHU,2M6-YC3-98M|7ZH-T8K-PHU|RCP-ES2-HB6
PAC-A_position,qwen35_122b_a10b,partial_triplet,pac2_A_position_v5_pos10_decoy64_0001,position=10,ZBD-WQM-675|U84-ML9-D2D|DL8-FWY-NPA,DL8-FWY-NPA|U84-ML9-D2D|U84-ML9-D2D
PAC-A_position,qwen3_14b_no_thinking,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0000,position=10,2M6-YC3-98M|RCP-ES2-HB6|7ZH-T8K-PHU,2M6-YC3-98M|RVP-ES2-HB6|7ZH-T8K-PHU
PAC-A_position,qwen3_14b_no_thinking,decoy_value_capture,pac2_A_position_v5_pos10_decoy64_0001,position=10,ZBD-WQM-675|U84-ML9-D2D|DL8-FWY-NPA,U84-MC9-D2D|ZBD-WQM-675|U84-ML9-D2D
PAC-A_position,qwen3_14b_no_thinking,partial_triplet,pac2_A_position_v5_pos10_decoy64_0008,position=10,LWB-U4W-E79|T9H-NDT-83G|T59-2N9-7H3,T59-2N9-7H3|LWB-U4W-E79|T9H-NDT-83G
PAC-A_position,qwen3_14b_no_thinking,partial_triplet,pac2_A_position_v5_pos10_decoy64_0009,position=10,7JJ-D66-D9T|TQU-CXL-69J|HEJ-7LP-B5G,HEJ-7LP-B5G|7JJ-D66-D9T|HEJ-7LP-B5G
PAC-A_position,qwen3_14b_thinking,decoy_value_capture,pac2_A_position_v5_pos25_decoy64_0008,position=25,EFA-M28-B32|NP2-57P-HJB|BJK-TCL-9MQ,BJK-TCL-9MV|EFA-V28-B32|BJK-TCL-9MQ
PAC-A_position,qwen3_14b_thinking,decoy_value_capture,pac2_A_position_v5_pos90_decoy64_0004,position=90,SWW-WXA-BQ2|B86-2DR-4EF|DGQ-PLP-RNJ,B86-2DR-4GF|DGX-PLP-RNJ|SWW-WXA-5Q2
PAC-A_position,qwen3_14b_thinking,partial_triplet,pac2_A_position_v5_pos25_decoy64_0010,position=25,8GV-NBL-GBQ|WS6-MY3-8R2|GH7-M7U-CF5,GH7-M7U-CF5|WS6-MY3-8R2|8GV-NBL-GBQ
PAC-A_position,qwen3_14b_thinking,partial_triplet,pac2_A_position_v5_pos90_decoy64_0001,position=90,P2L-245-8HA|QNM-Y5S-CVT|UJ5-9AZ-QAG,UJ5-9AZ-QAG|QNM-Y5S-CVT|P2L-245-8HA
PAC-A_position,seed_oss_36b,decoy_value_capture,pac2_A_position_v5_pos50_decoy64_0005,position=50,A2M-QRM-WVY|VWY-8GK-3JC|G5T-LCB-RFT,A2M-QRM-WVY|VWY-8LK-3JC|G5T-LCB-RFT
